Check,Model,Driver,Coef,SE,p_value,N,R2_within
SE Comparison,Baseline_FE_Clustered,FEDFUNDS_LAG12,-0.013448360964633902,0.011479921820918844,0.24141726665518237,43405,-0.03987714252801444
SE Comparison,Baseline_FE_Unadjusted,FEDFUNDS_LAG12,-0.013448360964633902,0.003766262004801513,0.00035635906942244056,43405,-0.03987714252801444
Alternative Lag,FE_Lag1,FEDFUNDS_LAG1,,,,47327,0.0014349142811220794
Alternative Lag,FE_Lag3,FEDFUNDS_LAG3,,,,47327,0.0014349142811220794
Alternative Lag,FE_Lag12,FEDFUNDS_LAG12,-0.013448360964633902,0.011479921820918844,0.24141726665518237,43405,-0.03987714252801444
Exclude Crisis Periods,FE_NoCrisis_Clustered,FEDFUNDS_LAG12,-0.00917881454431934,0.010888293964905853,0.399234341514064,41006,-0.01636610709043529
Size Subsample,FE_Small_Clustered,FEDFUNDS_LAG12,-0.014664934150758086,0.011857402529430005,0.2161854798387175,20494,-0.03624875834155272
Size Subsample,FE_Large_Clustered,FEDFUNDS_LAG12,-0.28272057547409907,0.020715752585598834,0.0,22911,-25.927729087075946
